Trip ID,Depart Time (s),Arrival Time (s),Trip Duration (s),Route Length (m),Waiting Time (s),Vehicle Type,Speed Factor,Congestion %
4,5.0,24.0,19.0,249.02,0.0,DEFAULT_VEHTYPE,1.08,0.0
5,5.0,24.0,19.0,342.24,0.0,DEFAULT_VEHTYPE,1.03,0.0
1,1.0,38.0,37.0,534.28,0.0,DEFAULT_VEHTYPE,1.06,0.0
10,22.0,39.0,17.0,235.25,0.0,DEFAULT_VEHTYPE,0.86,0.0
13,26.0,40.0,14.0,200.64,0.0,DEFAULT_VEHTYPE,1.03,0.0
9,16.0,43.0,27.0,448.12,0.0,DEFAULT_VEHTYPE,0.94,0.0
2,2.0,49.0,47.0,18.11,42.0,DEFAULT_VEHTYPE,0.94,89.36170212765957
7,12.0,52.0,40.0,48.83,28.0,DEFAULT_VEHTYPE,1.05,70.0
19,48.0,53.0,5.0,30.3,0.0,DEFAULT_VEHTYPE,0.88,0.0
6,9.0,54.0,45.0,137.15,29.0,DEFAULT_VEHTYPE,0.83,64.44444444444444
3,4.0,56.0,52.0,358.36,19.0,DEFAULT_VEHTYPE,1.01,36.53846153846153
21,41.0,58.0,17.0,50.35,1.0,DEFAULT_VEHTYPE,0.94,5.88235294117647
16,33.0,59.0,26.0,89.73,11.0,DEFAULT_VEHTYPE,1.12,42.30769230769231
28,54.0,71.0,17.0,130.91,0.0,DEFAULT_VEHTYPE,0.97,0.0
34,65.0,88.0,23.0,224.67,0.0,DEFAULT_VEHTYPE,0.92,0.0
17,33.0,93.0,60.0,816.05,6.0,DEFAULT_VEHTYPE,0.99,10.0
33,63.0,93.0,30.0,483.62,0.0,DEFAULT_VEHTYPE,0.87,0.0
36,67.0,95.0,28.0,51.79,15.0,DEFAULT_VEHTYPE,1.13,53.57142857142857
15,31.0,96.0,65.0,844.21,0.0,DEFAULT_VEHTYPE,1.05,0.0
18,36.0,97.0,61.0,51.91,50.0,DEFAULT_VEHTYPE,0.93,81.9672131147541
41,77.0,106.0,29.0,239.25,8.0,DEFAULT_VEHTYPE,1.15,27.586206896551722
23,44.0,111.0,67.0,1023.97,0.0,DEFAULT_VEHTYPE,0.94,0.0
40,74.0,115.0,41.0,536.7,0.0,DEFAULT_VEHTYPE,1.18,0.0
8,14.0,124.0,110.0,1237.99,26.0,DEFAULT_VEHTYPE,0.89,23.636363636363637
11,24.0,127.0,103.0,1237.99,20.0,DEFAULT_VEHTYPE,1.09,19.41747572815534
68,130.0,131.0,1.0,0.0,0.0,DEFAULT_VEHTYPE,1.17,0.0
27,51.0,136.0,85.0,1237.99,0.0,DEFAULT_VEHTYPE,1.01,0.0
58,115.0,138.0,23.0,393.9,0.0,DEFAULT_VEHTYPE,1.09,0.0
49,92.0,141.0,49.0,93.57,32.0,DEFAULT_VEHTYPE,1.02,65.3061224489796
32,62.0,142.0,80.0,1264.38,0.0,DEFAULT_VEHTYPE,0.83,0.0
45,137.0,142.0,5.0,21.96,0.0,DEFAULT_VEHTYPE,1.17,0.0
35,66.0,145.0,79.0,422.19,43.0,DEFAULT_VEHTYPE,0.95,54.43037974683544
62,123.0,146.0,23.0,152.14,1.0,DEFAULT_VEHTYPE,1.0,4.3478260869565215
51,97.0,148.0,51.0,253.17,21.0,DEFAULT_VEHTYPE,1.18,41.17647058823529
52,100.0,149.0,49.0,129.49,22.0,DEFAULT_VEHTYPE,1.1,44.89795918367347
59,115.0,158.0,43.0,73.32,24.0,DEFAULT_VEHTYPE,1.04,55.81395348837209
25,49.0,160.0,111.0,665.63,54.0,DEFAULT_VEHTYPE,1.02,48.64864864864865
79,156.0,161.0,5.0,26.09,0.0,DEFAULT_VEHTYPE,0.97,0.0
78,150.0,164.0,14.0,58.92,1.0,DEFAULT_VEHTYPE,1.02,7.142857142857142
57,107.0,168.0,61.0,360.62,30.0,DEFAULT_VEHTYPE,0.96,49.18032786885246
69,133.0,168.0,35.0,414.9,0.0,DEFAULT_VEHTYPE,1.02,0.0
53,103.0,172.0,69.0,528.67,25.0,DEFAULT_VEHTYPE,0.9,36.231884057971016
72,136.0,182.0,46.0,1041.08,0.0,DEFAULT_VEHTYPE,1.0,0.0
24,45.0,183.0,138.0,1180.49,44.0,DEFAULT_VEHTYPE,1.16,31.88405797101449
30,56.0,183.0,127.0,1041.5,41.0,DEFAULT_VEHTYPE,0.89,32.28346456692913
54,103.0,184.0,81.0,678.84,27.0,DEFAULT_VEHTYPE,1.03,33.33333333333333
82,159.0,184.0,25.0,434.35,0.0,DEFAULT_VEHTYPE,1.08,0.0
63,123.0,188.0,65.0,797.95,0.0,DEFAULT_VEHTYPE,0.9,0.0
67,127.0,189.0,62.0,131.66,40.0,DEFAULT_VEHTYPE,0.85,64.51612903225806
37,71.0,192.0,121.0,1272.94,32.0,DEFAULT_VEHTYPE,0.93,26.446280991735538
44,81.0,192.0,111.0,1424.95,44.0,DEFAULT_VEHTYPE,1.01,39.63963963963964
60,116.0,198.0,82.0,680.38,25.0,DEFAULT_VEHTYPE,1.04,30.48780487804878
94,199.0,200.0,1.0,0.0,0.0,DEFAULT_VEHTYPE,1.04,0.0
65,124.0,205.0,81.0,1262.1,0.0,DEFAULT_VEHTYPE,0.85,0.0
91,177.0,210.0,33.0,315.12,0.0,DEFAULT_VEHTYPE,0.91,0.0
101,210.0,211.0,1.0,0.0,0.0,DEFAULT_VEHTYPE,0.97,0.0
71,135.0,230.0,95.0,628.74,36.0,DEFAULT_VEHTYPE,1.0,37.89473684210527
74,139.0,232.0,93.0,368.69,46.0,DEFAULT_VEHTYPE,1.14,49.46236559139785
107,219.0,233.0,14.0,57.96,0.0,DEFAULT_VEHTYPE,1.03,0.0
64,124.0,234.0,110.0,1262.82,12.0,DEFAULT_VEHTYPE,0.88,10.909090909090908
95,192.0,235.0,43.0,356.6,6.0,DEFAULT_VEHTYPE,1.02,13.953488372093023
90,176.0,239.0,63.0,661.21,0.0,DEFAULT_VEHTYPE,0.88,0.0
109,223.0,239.0,16.0,253.22,0.0,DEFAULT_VEHTYPE,1.01,0.0
105,218.0,243.0,25.0,435.76,0.0,DEFAULT_VEHTYPE,0.98,0.0
73,136.0,244.0,108.0,641.15,49.0,DEFAULT_VEHTYPE,0.9,45.370370370370374
88,169.0,245.0,76.0,1290.33,0.0,DEFAULT_VEHTYPE,0.99,0.0
